ADR_SECTEUR,ANNEEDEPLANTATION,ANNEEREALISATIONDIAGNOSTIC,ANNEETRAVAUXPRECONISESDIAG,DIAMETREARBREAUNMETRE,ESPECE,FREQUENTATIONCIBLE,GENRE_BOTA,NOTEDIAGNOSTIC,PRIORITEDERENOUVELLEMENT,SOUS_CATEGORIE_DESC,STADEDEDEVELOPPEMENT,STADEDEVELOPPEMENTDIAG,TRAVAUXPRECONISESDIAG,TROTTOIR,VIGUEUR,coord_x,coord_y,DEFAUT,Collet,Houppier,Racine,Tronc
region6,2004,2014,2014,25,nigra,passages fréquents et arrêts fréquents,Pinus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1914856.885,4220763.371,non,non,non,non,non
region3,2005,2015,2020,15,inconnu,passages fréquents et arrêts fréquents,Carpinus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1912694.544,4222887.241,oui,non,non,non,oui
region5,2004,2015,2017,25,styraciflua,passages fréquents et arrêts fréquents,Liquidambar,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigueur intermédiaire,1915194.058,4222789.878,oui,non,oui,non,non
region6,2004,2015,2017,15,campestris,passages fréquents et arrêts fréquents,Acer,Arbre davenir incertain, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigueur intermédiaire,1915132.802,4222079.916,oui,non,oui,non,oui
region3,2004,2015,2016,35,altissima,passages fréquents et arrêts fréquents,Ailanthus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1912778.822,4222138.44,non,non,non,non,non
region4,2004,2013,2016,25,japonica,passages fréquents et arrêts fréquents,Sophora,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigoureux,1913695.108,4223039.979,non,non,non,non,non
region5,2004,2015,2018,25,styraciflua,passages fréquents et arrêts fréquents,Liquidambar,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1915239.522,4222561.637,non,non,non,non,non
region1,2014,2014,2020,15,floribunda,passages fréquents ou arrêts,Malus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre jeune,Controle,non,vigoureux,1912496.439,4224218.059,non,non,non,non,non
region3,2004,2014,2019,35,platanoides,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigoureux,1912598.093,4223042.001,non,non,non,non,non
region5,2004,2013,2016,5,sempervirens,quelques passages,Cupressus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre jeune,inconnu,non,vigoureux,1915932.809,4223819.641,non,non,non,non,non
region3,2004,2013,2016,55,pseudoacacia,passages fréquents et arrêts fréquents,Robinia,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1912607.499,4221691.37,non,non,non,non,non
region2,2004,2013,2016,15,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigoureux,1915003.857,4224632.347,non,non,non,non,non
region3,2004,2013,2016,65,pseudoplatanus,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1912627.979,4221909.791,oui,oui,oui,non,oui
region6,2004,2013,2017,55,tomentosa,passages fréquents et arrêts fréquents,Tilia,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigoureux,1914878.801,4222273.943,non,non,non,non,non
region5,2004,2013,2018,85,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille déclaircie,non,vigoureux,1914989.538,4222409.559,non,non,non,non,non
region5,2004,2013,2015,15,baccata,passages fréquents ou arrêts,Taxus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille cohabitation,non,vigoureux,1914968.265,4222479.287,non,non,non,non,non
region1,2004,2015,2016,15,tomentosa,passages fréquents et arrêts fréquents,Tilia,Arbre davenir incertain, 11-20,Arbre denceintes fermées,Arbre adulte,Arbre adulte,Controle,non,vigueur intermédiaire,1913341.517,4224209.894,oui,non,oui,non,non
region2,2004,2014,2014,55,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille mise en sécurité,non,vigoureux,1914742.86,4225237.68,oui,non,oui,non,non
region1,2004,2015,2015,55,saccharinum,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre denceintes fermées,Arbre adulte,Arbre adulte,Controle,non,vigoureux,1912522.923,4223685.642,oui,non,oui,non,non
region4,2004,2014,2016,25,saccharinum,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigoureux,1914650.386,4223477.119,non,non,non,non,non
region2,2004,2015,2016,85,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre à abattre dans les 10 ans, 6-10,Arbre de voirie,Arbre vieillissant,Arbre vieillissant,Taille mise en sécurité,oui,vieillissement dépérissement,1913524.447,4225157.249,oui,oui,oui,oui,oui
region5,2004,2015,2016,25,tomentosa,passages fréquents et arrêts fréquents,Paulownia,Arbre davenir incertain, 20-50,Arbre despaces ouverts,Arbre jeune,Arbre adulte,inconnu,non,vigoureux,1915557.15,4223183.711,non,non,non,non,non
region2,2004,2015,2015,85,pseudoplatanus,passages fréquents ou arrêts,Acer,Arbre à abattre dans les 10 ans, 6-10,Arbre despaces ouverts,Arbre vieillissant,Arbre vieillissant,Taille de bois mort,non,vigoureux,1914804.484,4225363.131,oui,oui,oui,oui,non
region5,2004,2013,2016,15,americana,passages fréquents et arrêts fréquents,Fraxinus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre jeune,Taille formation et mise au gabarit,non,vigoureux,1915682.704,4223113.814,non,non,non,non,non
region1,2004,2014,2019,25,bombycis,passages fréquents et arrêts fréquents,Morus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigoureux,1912532.006,4223589.698,oui,non,non,non,oui
region2,2014,2014,2020,15,platanor,passages fréquents ou arrêts,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre jeune,Controle,oui,vigoureux,1913683.214,4224698.924,non,non,non,non,non
region3,2004,2015,2020,55,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1912427.463,4222672.897,non,non,non,non,non
region6,2004,2015,2018,15,pseudoacacia,passages fréquents et arrêts fréquents,Robinia,Arbre davenir incertain, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1915138.877,4221454.168,oui,non,oui,non,non
region6,2014,2014,2020,15,ornus,passages fréquents ou arrêts,Fraxinus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre jeune,Controle,oui,vigoureux,1914313.489,4222052.096,non,non,non,non,non
region3,2004,2013,2016,45,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille de prolongement,non,vigoureux,1913124.184,4221907.364,non,non,non,non,non
region3,2004,2014,2014,25,cordata,passages fréquents et arrêts fréquents,Alnus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1912585.922,4221370.425,oui,non,non,non,oui
region3,2004,2013,2012,55,platanoides,passages fréquents et arrêts fréquents,Acer,Arbre davenir incertain, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Controle,non,vigoureux,1912436.353,4222157.854,oui,non,oui,non,non
region4,2004,2014,2014,55,robur,passages fréquents et arrêts fréquents,Quercus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigoureux,1915279.408,4223101.421,oui,non,oui,oui,non
region5,2004,2014,2015,55,excelsior,passages fréquents et arrêts fréquents,Fraxinus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Controle,non,vigoureux,1915516.739,4222360.15,non,non,non,non,non
region3,2015,2015,2020,15,domestica,passages fréquents ou arrêts,Malus,Arbre davenir normal, 20-50,Arbre despaces ouverts,inconnu,Arbre jeune,Controle,non,vigoureux,1912995.899,4223212.396,non,non,non,non,non
region4,2004,2013,2014,35,japonica,passages fréquents et arrêts fréquents,Sophora,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille mise en sécurité,oui,vigoureux,1913646.649,4223008.757,oui,non,oui,non,non
region1,2014,2014,2020,15,cappadocicum,passages fréquents ou arrêts,Acer,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre jeune,Controle,oui,vigoureux,1913459.804,4223727.526,non,non,non,non,non
region1,2004,2013,2016,35,australis,passages fréquents et arrêts fréquents,Celtis,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Aménagement pieds darbres,non,vigoureux,1912975.989,4225832.418,non,non,non,non,non
region6,2008,2015,2017,15,cappadocicum,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre jeune,Taille formation et mise au gabarit,non,vigoureux,1914569.557,4222107.997,oui,oui,non,non,non
region2,2004,2015,2016,35,lawsoniana,passages fréquents et arrêts fréquents,Chamaecyparis,Arbre à abattre dans les 10 ans, 6-10,Arbre denceintes fermées,Arbre adulte,Arbre adulte,Taille mise en sécurité,non,vigueur intermédiaire,1915546.427,4224995.405,oui,non,oui,non,non
region6,2004,2013,2014,35,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille cohabitation,non,vigoureux,1914498.999,4221732.459,non,non,non,non,non
region6,2005,2015,2016,15,serrulata,passages fréquents et arrêts fréquents,Prunus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre jeune,inconnu,non,vigoureux,1913996.078,4221963.469,oui,oui,non,non,non
region5,2004,2015,2018,15,styraciflua,passages fréquents et arrêts fréquents,Liquidambar,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1914941.02,4222443.866,non,non,non,non,non
region1,2004,2014,2014,35,nigra,passages fréquents et arrêts fréquents,Populus,Arbre davenir incertain, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,Abattage,non,vieillissement dépérissement,1913059.299,4225714.096,oui,non,non,non,oui
region4,2004,2013,2014,55,tomentosa,passages fréquents et arrêts fréquents,Tilia,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,Taille rideau,oui,vigoureux,1914421.36,4223824.179,oui,non,non,oui,non
region3,2004,2013,2016,35,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1912489.839,4222688.97,non,non,non,non,non
region5,2004,2013,2016,35,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigueur intermédiaire,1915564.253,4222278.95,non,non,non,non,non
region2,2004,2014,2014,75,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir incertain, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,Taille mise en sécurité,non,vigueur intermédiaire,1914693.893,4225193.354,oui,non,oui,non,non
region1,2014,2014,2019,15,tulipifera,passages fréquents ou arrêts,Liriodendron,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre jeune,Controle,non,vigoureux,1912087.049,4226322.298,non,non,non,non,non
region1,2004,2014,2014,45,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1912994.443,4225530.281,non,non,non,non,non
region5,2011,2015,2018,35,hippocastanum,passages fréquents et arrêts fréquents,Aesculus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre jeune,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1915265.41,4222819.887,non,non,non,non,non
region5,2004,2015,2017,15,cappadocicum,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1915526.997,4222802.381,non,non,non,non,non
region1,2014,2014,2019,15,sylvestris,passages fréquents ou arrêts,Pinus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre jeune,Controle,non,vigoureux,1912061.214,4226357.455,non,non,non,non,non
region6,2011,2015,2017,15,utilis,passages fréquents et arrêts fréquents,Betula,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1914218.255,4222207.294,non,non,non,non,non
region6,2004,2013,2016,45,excelsior,passages fréquents ou arrêts,Fraxinus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille déclaircie,non,vigoureux,1914843.918,4222334.249,non,non,non,non,non
region3,2004,2015,2016,35,altissima,passages fréquents et arrêts fréquents,Ailanthus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1912768.375,4222131.357,non,non,non,non,non
region5,2004,2014,2016,15,platanoides,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigueur intermédiaire,1915496.577,4222684.338,non,non,non,non,non
region3,2004,2013,2016,25,serrulata,passages fréquents et arrêts fréquents,Prunus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1912831.832,4221872.678,non,non,non,non,non
region2,2004,2014,2014,35,styraciflua,passages fréquents et arrêts fréquents,Liquidambar,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1915153.83,4225734.693,oui,non,oui,non,non
region3,2004,2015,2018,15,verrucosa,passages fréquents ou arrêts,Betula,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre jeune,Taille formation et mise au gabarit,non,vigoureux,1913271.596,4223596.724,non,non,non,non,non
region1,2004,2013,2016,25,japonica,passages fréquents et arrêts fréquents,Sophora,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1912821.036,4224997.066,non,non,non,non,non
region5,2004,2013,2016,65,pseudoacacia,passages fréquents et arrêts fréquents,Robinia,Arbre davenir incertain, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille déclaircie,non,vigoureux,1915010.333,4222514.518,non,non,non,non,non
region6,2005,2015,2016,25,campestre,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre jeune,Arbre jeune,Taille formation et mise au gabarit,non,vigoureux,1914003.966,4221964.004,non,non,non,non,non
region4,2012,2013,2016,25,nigra,passages fréquents et arrêts fréquents,Pinus,Arbre davenir normal, 11-20,Arbre de voirie,Arbre jeune,Arbre adulte,inconnu,non,vigueur intermédiaire,1914085.217,4223010.35,non,non,non,non,non
region2,2011,2014,2015,25,grandiflora,passages fréquents et arrêts fréquents,Magnolia,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre jeune,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1914718.298,4225375.412,non,non,non,non,non
region2,2004,2013,2016,35,hippocastanum,passages fréquents et arrêts fréquents,Aesculus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigoureux,1913958.297,4224592.754,non,non,non,non,non
region2,2004,2015,2016,5,indica,passages fréquents ou arrêts,Lagerstroemia,Arbre davenir incertain, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1913745.615,4225219.608,oui,non,oui,non,non
region3,2004,2015,2015,35,platanoides,passages fréquents et arrêts fréquents,Acer,Arbre à abattre immédiatement, 1-5,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Abattage,oui,vieillissement dépérissement,1912699.686,4223197.079,oui,non,oui,non,non
region2,2004,2014,2014,25,styraciflua,passages fréquents et arrêts fréquents,Liquidambar,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1915017.86,4225600.53,oui,non,non,non,oui
region2,2004,2015,2017,15,tulipifera,passages fréquents et arrêts fréquents,Liriodendron,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1914522.198,4223970.412,non,non,non,non,non
region3,2004,2013,2016,45,cordata,passages fréquents et arrêts fréquents,Tilia,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1912726.747,4221733.597,non,non,non,non,non
